DEBUG:root:('Index: 0', 'SKU: GH-BBM-559', 'image_links: http://www.johnsonwindowfilms.com/images/tints/daylight-natural/dn-35-lg.jpg', 'attachment_links: https://i.imgur.com/5lKC6DM.jpg')
DEBUG:root:('Index: 1', 'SKU: GH-BBM-560', 'image_links: http://www.johnsonwindowfilms.com/images/tints/daylight-natural/dn-50-lg.jpg', 'attachment_links: https://i.imgur.com/5lKC6DM.jpg')
DEBUG:root:('Index: 2', 'SKU: GH-BBM-561', 'image_links: http://www.johnsonwindowfilms.com/images/tints/nightscape/ns-05-lg.jpg', 'attachment_links: https://i.imgur.com/zK1Q3Gf.jpg')
DEBUG:root:('Index: 3', 'SKU: GH-BBM-562', 'image_links: http://www.johnsonwindowfilms.com/images/tints/palisade/pd-50-lg.jpg', 'attachment_links: https://i.imgur.com/FkbNvkw.jpg')
DEBUG:root:('Index: 4', 'SKU: GH-BBM-563', 'image_links: http://www.johnsonwindowfilms.com/images/tints/scenicview/sv-10-lg.jpg', 'attachment_links: https://i.imgur.com/03WoSgi.jpg')
DEBUG:root:('Index: 5', 'SKU: GH-BBM-564', 'image_links: http://www.johnsonwindowfilms.com/images/tints/solarsilver/ss-20-lg.jpg', 'attachment_links: https://i.imgur.com/uuZ1nX9.jpg')
DEBUG:root:('Index: 6', 'SKU: GH-BBM-565', 'image_links: http://www.johnsonwindowfilms.com/images/tints/sunset-bronze/sb-30-lg.jpg', 'attachment_links: https://i.imgur.com/NekbYPR.jpg')
DEBUG:root:('Index: 7', 'SKU: GH-BBM-566', 'image_links: http://www.johnsonwindowfilms.com/images/tints/sunset-bronze/sb-50-lg.jpg', 'attachment_links: https://i.imgur.com/NekbYPR.jpg')
DEBUG:root:('Index: 8', 'SKU: GH-BMM-100', 'image_links: https://bax.tools/photos/TIDLI1232.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 9', 'SKU: GH-BMM-1000', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_6-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 10', 'SKU: GH-BMM-1001', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_6-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 11', 'SKU: GH-BMM-1002', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_6-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 12', 'SKU: GH-BMM-1003', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_6-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 13', 'SKU: GH-BMM-1004', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_7-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 14', 'SKU: GH-BMM-1005', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_7-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 15', 'SKU: GH-BMM-1006', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_7-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 16', 'SKU: GH-BMM-1007', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_7-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 17', 'SKU: GH-BMM-1008', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_7-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 18', 'SKU: GH-BMM-1009', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_7-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 19', 'SKU: GH-BMM-101', 'image_links: https://bax.tools/photos/TG1061356.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 20', 'SKU: GH-BMM-1010', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_8-1-300x300.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 21', 'SKU: GH-BMM-1011', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_8-1-300x300.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 22', 'SKU: GH-BMM-1012', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_8-1-300x300.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 23', 'SKU: GH-BMM-1013', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_8-1-300x300.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 24', 'SKU: GH-BMM-1014', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_8-1-300x300.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 25', 'SKU: GH-BMM-1015', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_8-1-300x300.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 26', 'SKU: GH-BMM-1016', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_9-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 27', 'SKU: GH-BMM-1017', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_9-1.jpg', 'attachment_links: nan')
